codigo,id_global,prompt_origem,ciclo,subcategoria,titulo_atividade,temas_generos_cobertos,habilidades_bncc,paginas_estimadas,tipo_material,sobreposicoes,status
LP-12-ALF-01,01,prompt 1.md,1º-2º ano,Alfabetização e Língua Portuguesa básica,Aventura do Alfabeto,"traçado de letras, vogais, consoantes, ordem alfabética",EF01LP02;EF01LP04;EF01LP05,12,atividade do aluno,-,não gerado
LP-12-ALF-02,02,prompt 1.md,1º-2º ano,Alfabetização e Língua Portuguesa básica,Caça Sílabas,"segmentação silábica, sílaba inicial/final, rimas",EF01LP05;EF01LP06;EF01LP08;EF02LP03,12,atividade do aluno (c/ jogo recortável),-,não gerado
LP-12-ALF-03,03,prompt 1.md,1º-2º ano,Alfabetização e Língua Portuguesa básica,Bingo das Palavras,"reconhecimento global de palavras, leitura de frases",EF01LP02;EF01LP07;EF02LP01,13,jogo recortável,-,não gerado
LP-12-ALF-04,04,prompt 1.md,1º-2º ano,Alfabetização e Língua Portuguesa básica,Jogo das Rimas Malucas,"consciência fonológica, rimas, parlendas",EF01LP06;EF01LP09;EF02LP04,10,jogo recortável,LP-12-ALF-02 (rimas também trabalhadas na pág. 7 do Caça Sílabas),não gerado
LP-12-ALF-05,05,prompt 1.md,1º-2º ano,Alfabetização e Língua Portuguesa básica,Kit Gramática Divertida,"maiúsculas/minúsculas, pontuação básica (.?!) e vírgula introdutória, substantivos, singular/plural, ordem das palavras",EF01LP08;EF01LP10;EF01LP11;EF02LP07;EF02LP08;EF02LP09,14,atividade do aluno,"LP-12-GRAM-01 (pontuação, versão introdutória do que 16 aprofunda); LP-12-GRAM-05 (classes de palavras, versão introdutória do que 20 aprofunda)",não gerado
LP-12-LEI-06,06,prompt 2.md,1º-2º ano,Leitura Interativa e Compreensão,Passaporte da Leitura,"registro de leitura, ficha de livro lido, certificado",EF01LP16;EF01LP18;EF02LP12;EF02LP15,13,atividade do aluno,LP-12-LEI-07 (mesma função de registro/circulação de leitura que a Maleta Literária — ver redundancias.md),não gerado
LP-12-LEI-07,07,prompt 2.md,1º-2º ano,Leitura Interativa e Compreensão,Maleta Literária,"leitura em família, ficha de leitura compartilhada, reconto",EF01LP16;EF01LP18;EF01LP19;EF02LP15;EF02LP26,11,atividade do aluno,LP-12-LEI-06 (ver redundancias.md),não gerado
LP-12-LEI-08,08,prompt 2.md,1º-2º ano,Leitura Interativa e Compreensão,Role e Reconte — Dado de Histórias,"produção oral/escrita de narrativa a partir de sorteio",EF01LP17;EF01LP19;EF02LP12;EF02LP14;EF02LP27,12,jogo recortável,-,não gerado
LP-12-LEI-09,09,prompt 2.md,1º-2º ano,Leitura Interativa e Compreensão,Diário de Aventuras,"gênero diário/relato pessoal, escrita espontânea",EF01LP17;EF01LP19;EF02LP14;EF02LP16,14,atividade do aluno,LP-35-PROD-02 (retoma e aprofunda o gênero diário no 3º-4º ano — aprofundamento intencional),não gerado
LP-12-LEI-10,10,prompt 2.md,1º-2º ano,Leitura Interativa e Compreensão,Hora da História — Leitura e Compreensão,"compreensão leitora, inferência, gêneros curtos (narrativa, parlenda, bilhete, quadrinha)",EF01LP15;EF01LP16;EF02LP10;EF02LP11;EF02LP12,12,atividade do aluno,-,não gerado
LP-12-PROD-11,11,prompt 3.md,1º-2º ano,Produção de Texto e Gêneros Textuais,Fábrica de Textos — Primeiras Produções,"processo de escrita (planejar/rascunhar/revisar/publicar), narrativa livre",EF01LP17;EF01LP19;EF01LP20;EF02LP14;EF02LP16;EF02LP27,14,atividade do aluno,"Introduz o 'Checklist do Escritor' reutilizado em LP-35-PROD-01, LP-35-PROD-04 e outras — ver redundancias.md (reuso recomendado, não redundância)",não gerado
LP-12-PROD-12,12,prompt 3.md,1º-2º ano,Produção de Texto e Gêneros Textuais,Bilhetes e Recados,"gênero bilhete",EF01LP17;EF01LP18;EF01LP20;EF01LP21,10,atividade do aluno,-,não gerado
LP-12-PROD-13,13,prompt 3.md,1º-2º ano,Produção de Texto e Gêneros Textuais,Listas — Organizando o Mundo com Palavras,"gênero lista, ordem alfabética, campos semânticos",EF01LP17;EF01LP20;EF02LP16;EF02LP18,10,atividade do aluno,-,não gerado
LP-12-PROD-14,14,prompt 3.md,1º-2º ano,Produção de Texto e Gêneros Textuais,Convites — Escrevendo para Convidar,"gênero convite",EF01LP17;EF01LP18;EF01LP20;EF02LP16;EF02LP18,10,atividade do aluno,-,não gerado
LP-12-PROD-15,15,prompt 3.md,1º-2º ano,Produção de Texto e Gêneros Textuais,Receitas — Ler e Escrever Textos Instrucionais,"gênero receita/instrucional",EF01LP20;EF01LP21;EF02LP16;EF02LP18;EF02LP22,11,atividade do aluno,-,não gerado
